Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-01 2:32,32.3182,-86.9023,7088,272,0,6816,1,151.1656153,87196,978,3.837471783,84000001,USA,1859.627115,13.7979684
Alaska,US,2020-05-01 2:32,61.3707,-152.4044,355,9,252,94,2,59.38947618,19119,,2.535211268,84000002,USA,3198.499705,
American Samoa,US,2020-05-01 2:32,-14.271,-170.132,0,0,0,0,60,0,3,,,16,ASM,5.391707554,
Arizona,US,2020-05-01 2:32,33.7298,-111.4312,7655,320,1499,5836,4,105.1696336,71786,1169,4.180274331,84000004,USA,986.2452407,15.27106466
Arkansas,US,2020-05-01 2:32,34.9697,-92.3731,3281,61,1305,1915,5,126.727145,48379,402,1.859189272,84000005,USA,1868.617052,12.25236208
California,US,2020-05-01 2:32,36.1162,-119.6816,50130,2031,0,48099,6,127.8545381,625337,,4.051466188,84000006,USA,1594.896734,
Colorado,US,2020-05-01 2:32,39.0598,-105.3111,15284,777,2415,12092,8,269.7106822,71059,2621,5.08374771,84000008,USA,1253.949972,17.14865219
Connecticut,US,2020-05-01 2:32,41.5978,-72.7554,27700,2257,0,25443,9,776.9360503,97133,,8.14801444,84000009,USA,2724.409003,
Delaware,US,2020-05-01 2:32,39.3185,-75.5071,4734,152,1275,3307,10,486.1547562,21820,,3.210815378,84000010,USA,2240.789349,
Diamond Princess,US,2020-05-01 2:32,,,49,0,0,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2020-05-01 2:32,38.8974,-77.0268,4323,224,660,3439,11,612.5407192,20079,,5.181586861,84000011,USA,2845.06248,
Florida,US,2020-05-01 2:32,27.7663,-81.6868,33690,1268,0,32422,12,158.6710553,382405,5795,3.763728109,84000012,USA,1801.027156,17.20094984
Georgia,US,2020-05-01 2:32,33.0406,-83.6431,26264,1132,0,25132,13,259.0293127,149044,5156,4.310082242,84000013,USA,1469.949927,19.63143466
Grand Princess,US,2020-05-01 2:32,,,103,3,0,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,2020-05-01 2:32,13.4443,144.7937,145,5,131,9,66,88.29134927,2108,,3.448275862,316,GUM,1283.573547,
Hawaii,US,2020-05-01 2:32,21.0943,-157.4983,618,16,516,86,15,43.65066472,30640,69,2.588996764,84000015,USA,2164.168879,11.16504854
Idaho,US,2020-05-01 2:32,44.2405,-114.4788,1984,60,1121,803,16,123.1917849,28693,175,3.024193548,84000016,USA,1781.623933,8.820564516
